,simm_ABAD_pos,simm_ABAD_neg,simm_LAR_pos,simm_LAR_neg,simm_FLEX_pos,simm_FLEX_neg,maya_ABAD_pos,maya_ABAD_neg,maya_LAR_pos,maya_LAR_neg,maya_FLEX_pos,maya_FLEX_neg
44L_13_191,20.30179,0.0,10.1137,0.0,0.0,-14.1833,16.573792700000002,0.0,15.83342075,0.0,0.0,-17.07154989
44L_13_192,20.41531,0.0,9.8638,0.0,0.0,-14.4431,16.41620159,0.0,15.70101142,0.0,0.0,-17.46490717
44L_13_193,20.50936,0.0,9.6522,0.0,0.0,-14.6508,16.22530818,0.0,15.57680011,0.0,0.0,-17.79303312
44L_13_194,20.56287,0.0,9.5103,0.0,0.0,-14.8221,15.99598885,0.0,15.47438502,0.0,0.0,-18.06101918
44L_13_195,20.56804,0.0,9.4519,0.0,0.0,-14.977,15.73714495,0.0,15.40143371,0.0,0.0,-18.28253865
44L_13_196,20.53039,0.0,9.47,0.0,0.0,-15.1283,15.46994567,0.0,15.3597939,0.0,0.0,-18.47112894
44L_13_197,20.4658,0.0,9.5397,0.0,0.0,-15.2747,15.22483349,0.0,15.34654975,0.0,0.0,-18.63328576
44L_13_198,20.39659,0.0,9.6258,0.0,0.0,-15.4008,15.0375247,0.0,15.35526276,0.0,0.0,-18.76624107
44L_13_199,20.34641,0.0,9.6917,0.0,0.0,-15.4854,14.94279981,0.0,15.37711978,0.0,0.0,-18.86023521
44L_13_200,20.33423,0.0,9.7076,0.0,0.0,-15.5108,14.96576309,0.0,15.40213346,0.0,0.0,-18.90291572
44L_13_201,20.36884,0.0,9.6561,0.0,0.0,-15.4682,15.11306286,0.0,15.420447589999998,0.0,0.0,-18.8835609
44L_13_202,20.4463,0.0,9.5343,0.0,0.0,-15.36,15.36822438,0.0,15.42364359,0.0,0.0,-18.79656911
44L_13_203,20.552,0.0,9.3534,0.0,0.0,-15.1973,15.69372296,0.0,15.406118630000002,0.0,0.0,-18.64517212
