,simm_ABAD_pos,simm_ABAD_neg,simm_LAR_pos,simm_LAR_neg,simm_FLEX_pos,simm_FLEX_neg,maya_ABAD_pos,maya_ABAD_neg,maya_LAR_pos,maya_LAR_neg,maya_FLEX_pos,maya_FLEX_neg
44L_13_109,0.0,-2.18009,0.0,-0.66916,14.561,0.0,0.0,-1.012244895,0.0,-1.842763871,14.40656781,0.0
44L_13_110,0.0,-2.19572,0.0,-0.68759,14.5671,0.0,0.0,-1.006845981,0.0,-1.869238317,14.46015716,0.0
44L_13_111,0.0,-2.21921,0.0,-0.71396,14.58,0.0,0.0,-1.002282053,0.0,-1.896902025,14.50433016,0.0
44L_13_112,0.0,-2.24765,0.0,-0.74749,14.598,0.0,0.0,-0.9979674965,0.0,-1.92863673,14.53024745,0.0
44L_13_113,0.0,-2.278,0.0,-0.78483,14.6178,0.0,0.0,-0.9918107837,0.0,-1.96418494,14.53442454,0.0
44L_13_114,0.0,-2.3079,0.0,-0.82099,14.6352,0.0,0.0,-0.9819126129,0.0,-1.999727041,14.51986313,0.0
44L_13_115,0.0,-2.33553,0.0,-0.85068,14.6469,0.0,0.0,-0.9680371732,0.0,-2.029481828,14.49454427,0.0
44L_13_116,0.0,-2.35876,0.0,-0.86965,14.6513,0.0,0.0,-0.9519593418,0.0,-2.048076689,14.46807504,0.0
44L_13_117,0.0,-2.37479,0.0,-0.87523,14.6483,0.0,0.0,-0.9367035329,0.0,-2.052257657,14.44809437,0.0
44L_13_118,0.0,-2.38078,0.0,-0.86648,14.6386,0.0,0.0,-0.9253288805,0.0,-2.041329592,14.43790197,0.0
44L_13_119,0.0,-2.37528,0.0,-0.84399,14.623,0.0,0.0,-0.9199310839,0.0,-2.016773522,14.43595529,0.0
44L_13_120,0.0,-2.35918,0.0,-0.80979,14.6023,0.0,0.0,-0.9211803973,0.0,-1.981891394,14.43714738,0.0
44L_13_121,0.0,-2.3356,0.0,-0.76744,14.5775,0.0,0.0,-0.9283771366,0.0,-1.941739172,14.43539143,0.0
44L_13_122,0.0,-2.30858,0.0,-0.72193,14.5505,0.0,0.0,-0.9398284554,0.0,-1.902704835,14.42673922,0.0
44L_13_123,0.0,-2.28169,0.0,-0.67924,14.5243,0.0,0.0,-0.9533407539,0.0,-1.8710877,14.41172242,0.0
44L_13_124,0.0,-2.25744,0.0,-0.64523,14.5026,0.0,0.0,-0.9666941315,0.0,-1.851210147,14.39553618,0.0
44L_13_125,0.0,-2.23746,0.0,-0.62411,14.4888,0.0,0.0,-0.978012532,0.0,-1.844526529,14.38572049,0.0
44L_13_126,0.0,-2.22315,0.0,-0.61742,14.4849,0.0,0.0,-0.9858901054,0.0,-1.850422323,14.38851237,0.0
44L_13_127,0.0,-2.21586,0.0,-0.62409,14.4904,0.0,0.0,-0.9891643375,0.0,-1.867673546,14.40587521,0.0
44L_13_128,0.0,-2.21662,0.0,-0.6414,14.5033,0.0,0.0,-0.9864808619,0.0,-1.895005256,14.43461299,0.0
44L_13_129,0.0,-2.2257,0.0,-0.66634,14.5208,0.0,0.0,-0.9760900587,0.0,-1.930438429,14.46781278,0.0
44L_13_130,0.0,-2.24242,0.0,-0.69643,14.5399,0.0,0.0,-0.9562776238,0.0,-1.970530003,14.49761033,0.0
44L_13_131,0.0,-2.26523,0.0,-0.72982,14.5583,0.0,0.0,-0.9264041483,0.0,-2.010639608,14.51779485,0.0
44L_13_132,0.0,-2.29189,0.0,-0.76474,14.5741,0.0,0.0,-0.8880307525,0.0,-2.046189159,14.52523947,0.0
44L_13_133,0.0,-2.3198,0.0,-0.79879,14.5856,0.0,0.0,-0.8453939109999999,0.0,-2.073891163,14.52026486,0.0
44L_13_134,0.0,-2.34642,0.0,-0.82865,14.5914,0.0,0.0,-0.8047197759,0.0,-2.092022598,14.50651288,0.0
44L_13_135,0.0,-2.36943,0.0,-0.85035,14.5905,0.0,0.0,-0.7725178450000001,0.0,-2.099851072,14.49030995,0.0
44L_13_136,0.0,-2.38678,0.0,-0.86018,14.5829,0.0,0.0,-0.7537181675,0.0,-2.097226828,14.47881818,0.0
44L_13_137,0.0,-2.39649,0.0,-0.85586,14.5694,0.0,0.0,-0.7506415247999999,0.0,-2.085108161,14.47700858,0.0
44L_13_138,0.0,-2.39687,0.0,-0.83753,14.5522,0.0,0.0,-0.7630486041,0.0,-2.066479325,14.48503733,0.0
